date,state,daily
11/10/2019,Malaysia,685
11/11/2019,Malaysia,1873
11/12/2019,Malaysia,2105
11/13/2019,Malaysia,2013
11/14/2019,Malaysia,2236
11/15/2019,Malaysia,1148
11/16/2019,Malaysia,1452
11/17/2019,Malaysia,1027
11/18/2019,Malaysia,1783
11/19/2019,Malaysia,1979
11/20/2019,Malaysia,2085
11/21/2019,Malaysia,1905
11/22/2019,Malaysia,1301
11/23/2019,Malaysia,1252
11/24/2019,Malaysia,1055
11/25/2019,Malaysia,1950
11/26/2019,Malaysia,2299
11/27/2019,Malaysia,2275
11/28/2019,Malaysia,2124
11/29/2019,Malaysia,1240
11/30/2019,Malaysia,766
12/1/2019,Malaysia,676
12/2/2019,Malaysia,1772
12/3/2019,Malaysia,2189
12/4/2019,Malaysia,1976
12/5/2019,Malaysia,1779
12/6/2019,Malaysia,1278
12/7/2019,Malaysia,1090
12/8/2019,Malaysia,1234
12/9/2019,Malaysia,1851
12/10/2019,Malaysia,2165
12/11/2019,Malaysia,2250
12/12/2019,Malaysia,2442
12/13/2019,Malaysia,1241
12/14/2019,Malaysia,618
12/15/2019,Malaysia,1087
12/16/2019,Malaysia,2312
12/17/2019,Malaysia,2894
12/18/2019,Malaysia,2214
12/19/2019,Malaysia,2144
12/20/2019,Malaysia,1387
12/21/2019,Malaysia,767
12/22/2019,Malaysia,939
12/23/2019,Malaysia,2156
12/24/2019,Malaysia,2080
12/25/2019,Malaysia,296
12/26/2019,Malaysia,1627
12/27/2019,Malaysia,1415
12/28/2019,Malaysia,818
12/29/2019,Malaysia,923
12/30/2019,Malaysia,1975
12/31/2019,Malaysia,1827
1/1/2020,Malaysia,827
1/2/2020,Malaysia,1759
1/3/2020,Malaysia,1072
1/4/2020,Malaysia,677
1/5/2020,Malaysia,851
1/6/2020,Malaysia,1806
1/7/2020,Malaysia,2085
1/8/2020,Malaysia,2080
1/9/2020,Malaysia,1810
1/10/2020,Malaysia,1118
1/11/2020,Malaysia,848
1/12/2020,Malaysia,983
1/13/2020,Malaysia,1872
1/14/2020,Malaysia,1704
1/15/2020,Malaysia,1813
1/16/2020,Malaysia,1696
1/17/2020,Malaysia,1232
1/18/2020,Malaysia,958
1/19/2020,Malaysia,954
1/20/2020,Malaysia,1856
1/21/2020,Malaysia,1757
1/22/2020,Malaysia,2012
1/23/2020,Malaysia,1154
1/24/2020,Malaysia,609
1/25/2020,Malaysia,91
1/26/2020,Malaysia,265
1/27/2020,Malaysia,356
1/28/2020,Malaysia,1339
1/29/2020,Malaysia,1667
1/30/2020,Malaysia,1427
1/31/2020,Malaysia,1014
2/1/2020,Malaysia,463
2/2/2020,Malaysia,994
2/3/2020,Malaysia,1778
2/4/2020,Malaysia,1719
2/5/2020,Malaysia,1746
2/6/2020,Malaysia,1697
2/7/2020,Malaysia,1155
2/8/2020,Malaysia,575
2/9/2020,Malaysia,1087
2/10/2020,Malaysia,1691
2/11/2020,Malaysia,1605
2/12/2020,Malaysia,1988
2/13/2020,Malaysia,1890
2/14/2020,Malaysia,1407
2/15/2020,Malaysia,786
2/16/2020,Malaysia,1148
2/17/2020,Malaysia,2220
2/18/2020,Malaysia,2058
2/19/2020,Malaysia,2426
2/20/2020,Malaysia,1785
2/21/2020,Malaysia,1253
2/22/2020,Malaysia,907
2/23/2020,Malaysia,1504
2/24/2020,Malaysia,2259
2/25/2020,Malaysia,1880
2/26/2020,Malaysia,1897
2/27/2020,Malaysia,1841
2/28/2020,Malaysia,1263
2/29/2020,Malaysia,863
3/1/2020,Malaysia,1004
3/2/2020,Malaysia,1679
3/3/2020,Malaysia,1571
3/4/2020,Malaysia,1577
3/5/2020,Malaysia,1520
3/6/2020,Malaysia,997
3/7/2020,Malaysia,756
3/8/2020,Malaysia,969
3/9/2020,Malaysia,1633
3/10/2020,Malaysia,1712
3/11/2020,Malaysia,1580
3/12/2020,Malaysia,1305
3/13/2020,Malaysia,1070
3/14/2020,Malaysia,575
3/15/2020,Malaysia,838
3/16/2020,Malaysia,1286
3/17/2020,Malaysia,1050
3/18/2020,Malaysia,967
3/19/2020,Malaysia,596
3/20/2020,Malaysia,279
3/21/2020,Malaysia,78
3/22/2020,Malaysia,35
3/23/2020,Malaysia,54
3/24/2020,Malaysia,98
3/25/2020,Malaysia,133
3/26/2020,Malaysia,126
3/27/2020,Malaysia,83
3/28/2020,Malaysia,35
3/29/2020,Malaysia,28
3/30/2020,Malaysia,93
3/31/2020,Malaysia,114
4/1/2020,Malaysia,130
4/2/2020,Malaysia,94
4/3/2020,Malaysia,90
4/4/2020,Malaysia,47
4/5/2020,Malaysia,40
4/6/2020,Malaysia,119
4/7/2020,Malaysia,105
4/8/2020,Malaysia,139
4/9/2020,Malaysia,81
4/10/2020,Malaysia,92
4/11/2020,Malaysia,69
4/12/2020,Malaysia,91
4/13/2020,Malaysia,126
4/14/2020,Malaysia,140
4/15/2020,Malaysia,126
4/16/2020,Malaysia,128
4/17/2020,Malaysia,102
4/18/2020,Malaysia,62
4/19/2020,Malaysia,81
4/20/2020,Malaysia,178
4/21/2020,Malaysia,143
4/22/2020,Malaysia,168
4/23/2020,Malaysia,130
4/24/2020,Malaysia,131
4/25/2020,Malaysia,92
4/26/2020,Malaysia,57
4/27/2020,Malaysia,132
4/28/2020,Malaysia,193
4/29/2020,Malaysia,223
4/30/2020,Malaysia,155
5/1/2020,Malaysia,50
5/2/2020,Malaysia,61
5/3/2020,Malaysia,78
5/4/2020,Malaysia,195
5/5/2020,Malaysia,202
5/6/2020,Malaysia,170
5/7/2020,Malaysia,110
5/8/2020,Malaysia,143
5/9/2020,Malaysia,103
5/10/2020,Malaysia,105
5/11/2020,Malaysia,187
5/12/2020,Malaysia,237
5/13/2020,Malaysia,182
5/14/2020,Malaysia,202
5/15/2020,Malaysia,195
5/16/2020,Malaysia,107
5/17/2020,Malaysia,122
5/18/2020,Malaysia,254
5/19/2020,Malaysia,193
5/20/2020,Malaysia,192
5/21/2020,Malaysia,184
5/22/2020,Malaysia,143
5/23/2020,Malaysia,59
5/24/2020,Malaysia,22
5/25/2020,Malaysia,55
5/26/2020,Malaysia,128
5/27/2020,Malaysia,260
5/28/2020,Malaysia,212
5/29/2020,Malaysia,211
5/30/2020,Malaysia,135
5/31/2020,Malaysia,157
6/1/2020,Malaysia,294
6/2/2020,Malaysia,281
6/3/2020,Malaysia,374
6/4/2020,Malaysia,293
6/5/2020,Malaysia,255
6/6/2020,Malaysia,206
6/7/2020,Malaysia,182
6/8/2020,Malaysia,252
6/9/2020,Malaysia,578
